area,latitude,longitude,plot,probe,depth_cm,organic_contact_pct,mineral_soil_contact_pct,live_moss_pct,dead_moss_pct,burned_moss_pct,upper_duff_pct,lower_duff_pct,A,B,C
Alaska,69.633,-148.68365,Sedge 1-1,27639-1,18,1,0,0,0.611110098401616,0,0.389,0,0,3.57448436190865,-49.0726570609149
Alaska,69.633,-148.68365,Sedge 1-1,27639-2,10,1,0,0,1,0,0,0,0,3.373,-46.35
Alaska,69.633,-148.68365,Sedge 1-1,27639-3,10,1,0,0,1,0,0,0,0,3.373,-46.35
Alaska,69.633,-148.68365,Sedge 1-1,27639-4,6,1,0,0,1,0,0,0,0,3.373,-46.35
Alaska,69.63361,-148.68646,Sedge 1-4,27640-1,18,1,0,0,0,0,0,0,-0.0428,5.3871,-68.443
Alaska,69.63361,-148.68646,Sedge 1-4,27640-2,10,1,0,0,0,0,0,0,-0.0428,5.3871,-68.443
Alaska,69.63361,-148.68646,Sedge 1-4,27640-3,10,1,0,0,0,0,0,0,-0.0428,5.3871,-68.443
Alaska,69.63361,-148.68646,Sedge 1-4,27640-4,6,1,0,0,0,0,0,0,-0.0428,5.3871,-68.443
Alaska,69.63268,-148.68718,Sedge 1-6,27638-1,18,1,0,0,0,0,0,0,-0.0428,5.3871,-68.443
Alaska,69.63268,-148.68718,Sedge 1-6,27638-2,10,1,0,0,0,0,0,0,-0.0428,5.3871,-68.443
Alaska,69.63268,-148.68718,Sedge 1-6,27638-3,10,1,0,0,0,0,0,0,-0.0428,5.3871,-68.443
Alaska,69.63268,-148.68718,Sedge 1-6,27638-4,6,1,0,0,0,0,0,0,-0.0428,5.3871,-68.443
Alaska,69.44373,-148.64062,Tussock 1-1,27642-1,18,1,0,0.166666390473168,0.777776488874785,0,0.056,0,-0.132833113207115,8.02177151205214,-86.6486773585972
Alaska,69.44373,-148.64062,Tussock 1-1,27642-2,10,1,0,0.300018321862333,0.699981678137667,0,0,0,-0.23911460252428,11.6865076988053,-118.150984824737
Alaska,69.44373,-148.64062,Tussock 1-1,27642-3,10,1,0,0.300018321862333,0.699981678137667,0,0,0,-0.23911460252428,11.6865076988053,-118.150984824737
Alaska,69.44373,-148.64062,Tussock 1-1,27642-4,6,1,0,0.499998665198559,0.500001334801441,0,0,0,-0.398498936163252,17.2279630126521,-166.01068055265
Alaska,69.44291,-148.64299,Tussock 1-4,27645-1,18,1,0,0,0,0,0,0,-0.0428,5.3871,-68.443
Alaska,69.44291,-148.64299,Tussock 1-4,27645-2,10,1,0,0,0,0,0,0,-0.0428,5.3871,-68.443
Alaska,69.44291,-148.64299,Tussock 1-4,27645-3,10,1,0,0,0,0,0,0,-0.0428,5.3871,-68.443
Alaska,69.44291,-148.64299,Tussock 1-4,27645-4,6,1,0,0,0,0,0,0,-0.0428,5.3871,-68.443
Alaska,69.44382,-148.6441,Tussock 1-6,27643-1,18,1,0,0,0.388888244437392,0,0.361,0.25,0,3.44676004848732,-47.7580161296731
Alaska,69.44382,-148.6441,Tussock 1-6,27643-2,10,1,0,0,0.700042751012111,0,0.3,0,0,3.52824419916385,-48.4477815094113
Alaska,69.44382,-148.6441,Tussock 1-6,27643-3,10,1,0,0,0.700042751012111,0,0.3,0,0,3.52824419916385,-48.4477815094113
Alaska,69.44382,-148.6441,Tussock 1-6,27643-4,6,1,0,0,1,0,0,0,0,3.373,-46.35
Alaska,69.20924,-148.80717,TussockShrub 1-1,27644-1,18,1,0,0.111110926982112,0.27777731745528,0,0.389,0.222,-0.088555408804743,6.55271983516165,-74.6690933968862
Alaska,69.20924,-148.80717,TussockShrub 1-1,27644-2,10,1,0,0.200012214574889,0.500030536437222,0,0.3,0,-0.159409735016186,9.07058266503402,-96.3151047259029
Alaska,69.20924,-148.80717,TussockShrub 1-1,27644-3,10,1,0,0.200012214574889,0.500030536437222,0,0.3,0,-0.159409735016186,9.07058266503402,-96.3151047259029
Alaska,69.20924,-148.80717,TussockShrub 1-1,27644-4,6,1,0,0.333332443465706,0.666667556534294,0,0,0,-0.265665957442168,12.6096420084347,-126.1237870351
Alaska,69.20846,-148.80971,TussockShrub 1-4,27637-1,18,1,0,0.166666390473168,0.388888244437392,0,0.445,0,-0.132833113207115,8.22326146356481,-89.371411228924
Alaska,69.20846,-148.80971,TussockShrub 1-4,27637-2,10,1,0,0.300018321862333,0.699981678137667,0,0,0,-0.23911460252428,11.6865076988053,-118.150984824737
Alaska,69.20846,-148.80971,TussockShrub 1-4,27637-3,10,1,0,0.300018321862333,0.699981678137667,0,0,0,-0.23911460252428,11.6865076988053,-118.150984824737
Alaska,69.20846,-148.80971,TussockShrub 1-4,27637-4,6,1,0,0.499998665198559,0.500001334801441,0,0,0,-0.398498936163252,17.2279630126521,-166.01068055265
Alaska,69.20938,-148.81073,TussockShrub 1-6,27641-1,18,1,0,0.166666390473168,0.388888244437392,0,0.222,0.223,-0.132833113207115,8.00762046356481,-86.824528228924
Alaska,69.20938,-148.81073,TussockShrub 1-6,27641-2,10,1,0,0.300018321862333,0.699981678137667,0,0,0,-0.23911460252428,11.6865076988053,-118.150984824737
Alaska,69.20938,-148.81073,TussockShrub 1-6,27641-3,10,1,0,0.300018321862333,0.699981678137667,0,0,0,-0.23911460252428,11.6865076988053,-118.150984824737
Alaska,69.20938,-148.81073,TussockShrub 1-6,27641-4,6,1,0,0.499998665198559,0.500001334801441,0,0,0,-0.398498936163252,17.2279630126521,-166.01068055265
Alaska,69.42409,-148.68889,TussockShrub 3-1,27636-1,18,0.944,0.056,0.166666390473168,0.222221853964224,0,0.278,0.277,-0.128201913207115,7.82113672849881,-85.2864174304927
Alaska,69.42409,-148.68889,TussockShrub 3-1,27636-2,10,1,0,0.300018321862333,0.400024429149778,0,0.3,0,-0.23911460252428,11.8417518979691,-120.248766334149
Alaska,69.42409,-148.68889,TussockShrub 3-1,27636-3,10,1,0,0.300018321862333,0.400024429149778,0,0.3,0,-0.23911460252428,11.8417518979691,-120.248766334149
Alaska,69.42409,-148.68889,TussockShrub 3-1,27636-4,6,1,0,0.499998665198559,0.500001334801441,0,0,0,-0.398498936163252,17.2279630126521,-166.01068055265
Alaska,69.42393,-148.68565,TussockShrub 3-4,2613-1,18,0.556,0.444,0.166666390473168,0.333332780946336,0,0.028,0.028,-0.096114313207115,6.49558688520948,-73.1552230961136
Alaska,69.42393,-148.68565,TussockShrub 3-4,2613-2,10,1,0,0.300018321862333,0.600036643724666,0,0.05,0.05,-0.23911460252428,11.6900430977302,-118.281082479695
Alaska,69.42393,-148.68565,TussockShrub 3-4,2613-3,10,1,0,0.300018321862333,0.600036643724666,0,0.05,0.05,-0.23911460252428,11.6900430977302,-118.281082479695
Alaska,69.42393,-148.68565,TussockShrub 3-4,2613-4,6,1,0,0.499998665198559,0.500001334801441,0,0,0,-0.398498936163252,17.2279630126521,-166.01068055265
Alaska,69.42478,-148.68719,TussockShrub 3-6,2608-1,18,0.722,0.278,0.166666390473168,0.333332780946336,0,0.111,0.111,-0.109842513207115,7.06106588520948,-78.2845566961136
Alaska,69.42478,-148.68719,TussockShrub 3-6,2608-2,10,1,0,0.300018321862333,0.600036643724666,0,0.1,0,-0.23911460252428,11.7383930977302,-118.852132479695
Alaska,69.42478,-148.68719,TussockShrub 3-6,2608-3,10,1,0,0.300018321862333,0.600036643724666,0,0.1,0,-0.23911460252428,11.7383930977302,-118.852132479695
Alaska,69.42478,-148.68719,TussockShrub 3-6,2608-4,6,1,0,0.499998665198559,0.500001334801441,0,0,0,-0.398498936163252,17.2279630126521,-166.01068055265
Alberta,56.79434,-115.32139,Bog 1-1,13270-1,10,1,0,1,0,0,0,0,0,5.893,-73.533
Alberta,56.79434,-115.32139,Bog 1-1,13270-2,18,1,0,1,0,0,0,0,0,5.893,-73.533
Alberta,56.79434,-115.32139,Bog 1-1,13270-3,10,1,0,1,0,0,0,0,0,5.893,-73.533
Alberta,56.79434,-115.32139,Bog 1-1,13270-4,18,1,0,1,0,0,0,0,0,5.893,-73.533
Alberta,56.79544,-115.32109,Bog 1-4,2607-1,10,1,0,1,0,0,0,0,0,5.893,-73.533
Alberta,56.79544,-115.32109,Bog 1-4,2607-2,10,1,0,1,0,0,0,0,0,5.893,-73.533
Alberta,56.79544,-115.32109,Bog 1-4,2607-3,18,1,0,1,0,0,0,0,0,5.893,-73.533
Alberta,56.79544,-115.32109,Bog 1-4,2607-4,18,1,0,1,0,0,0,0,0,5.893,-73.533
Alberta,56.7952,-115.32276,Bog 1-6,2611-1,10,1,0,1,0,0,0,0,0,5.893,-73.533
Alberta,56.7952,-115.32276,Bog 1-6,2611-2,10,1,0,1,0,0,0,0,0,5.893,-73.533
Alberta,56.7952,-115.32276,Bog 1-6,2611-3,18,1,0,1,0,0,0,0,0,5.893,-73.533
Alberta,56.7952,-115.32276,Bog 1-6,2611-4,30,1,0,1,0,0,0,0,0,5.893,-73.533
Alberta,56.65649,-115.23162,Con 1-1,2610-1,10,1,0,0.300018321862333,0.500030536437222,0,0.2,0,-0.23911460252428,11.7900724978497,-119.550449406922
Alberta,56.65649,-115.23162,Con 1-1,2610-2,10,1,0,0.300018321862333,0.500030536437222,0,0.2,0,-0.23911460252428,11.7900724978497,-119.550449406922
Alberta,56.65649,-115.23162,Con 1-1,2610-3,18,1,0,0.166666390473168,0.27777731745528,0,0.556,0,-0.132833113207115,8.28027430685415,-90.1417157633031
Alberta,56.65649,-115.23162,Con 1-1,2610-4,18,1,0,0.166666390473168,0.27777731745528,0,0.556,0,-0.132833113207115,8.28027430685415,-90.1417157633031
Alberta,56.65641,-115.23035,Con 1-4,13029-1,10,1,0,0.200012214574889,0.799987785425111,0,0,0,-0.159409735016186,8.91533846587017,-94.2173232164915
Alberta,56.65641,-115.23035,Con 1-4,13029-2,10,1,0,0.200012214574889,0.799987785425111,0,0,0,-0.159409735016186,8.91533846587017,-94.2173232164915
Alberta,56.65641,-115.23035,Con 1-4,13029-3,18,1,0,0.111110926982112,0.55555463491056,0,0.333,0,-0.088555408804743,6.62291672693831,-75.2521260609384
Alberta,56.65641,-115.23035,Con 1-4,13029-4,18,1,0,0.111110926982112,0.55555463491056,0,0.333,0,-0.088555408804743,6.62291672693831,-75.2521260609384
Alberta,56.65731,-115.23006,Con 1-6,2609-1,10,1,0,0.300018321862333,0.699981678137667,0,0,0,-0.23911460252428,11.6865076988053,-118.150984824737
Alberta,56.65731,-115.23006,Con 1-6,2609-2,10,1,0,0.300018321862333,0.699981678137667,0,0,0,-0.23911460252428,11.6865076988053,-118.150984824737
Alberta,56.65731,-115.23006,Con 1-6,2609-3,18,1,0,0.166666390473168,0.499999171419504,0,0.333,0,-0.132833113207115,8.16235862027547,-88.5477706945449
Alberta,56.65731,-115.23006,Con 1-6,2609-4,18,1,0,0.166666390473168,0.499999171419504,0,0.333,0,-0.132833113207115,8.16235862027547,-88.5477706945449
Alberta,56.69428,-115.28526,Decid 1-1,2615-1,10,1,0,0,0.200012214574889,0,0.3,0.5,0,3.3031411997611,-46.2288661455461
Alberta,56.69428,-115.28526,Decid 1-1,2615-2,18,0.556,0.444,0,0.111110926982112,0,0.167,0.278,0.0367188,1.83700115671066,-33.1357730656209
Alberta,56.69428,-115.28526,Decid 1-1,2615-3,10,1,0,0,0.200012214574889,0,0.3,0.5,0,3.3031411997611,-46.2288661455461
Alberta,56.69428,-115.28526,Decid 1-1,2615-4,18,0.556,0.444,0,0.111110926982112,0,0.167,0.278,0.0367188,1.83700115671066,-33.1357730656209
Alberta,56.69446,-115.2832,Decid 1-4,2606-1,10,0.8,0.2,0.200012214574889,0.100006107287444,0,0.1,0.4,-0.142869735016186,8.11250026551182,-87.2179524348107
Alberta,56.69446,-115.2832,Decid 1-4,2606-2,10,0.8,0.2,0.200012214574889,0.100006107287444,0,0.1,0.4,-0.142869735016186,8.11250026551182,-87.2179524348107
Alberta,56.69446,-115.2832,Decid 1-4,2606-3,18,0.444,0.556,0.111110926982112,0.055555463491056,0,0.056,0.222,-0.042574208804743,4.50779552174032,-55.9078228656444
Alberta,56.69446,-115.2832,Decid 1-4,2606-4,18,0.444,0.556,0.111110926982112,0.055555463491056,0,0.056,0.222,-0.042574208804743,4.50779552174032,-55.9078228656444
Alberta,56.69525,-115.2841,Decid 1-6,2605-1,18,1,0,0,0.055555463491056,0,0.333,0.611,0,3.26871157835533,-45.9459487328104
Alberta,56.69525,-115.2841,Decid 1-6,2605-2,18,1,0,0,0.055555463491056,0,0.333,0.611,0,3.26871157835533,-45.9459487328104
Alberta,56.69525,-115.2841,Decid 1-6,2605-3,10,1,0,0,0.100006107287444,0,0.6,0.3,0,3.54822059988055,-49.2113830727731
Alberta,56.69525,-115.2841,Decid 1-6,2605-4,10,1,0,0,0.100006107287444,0,0.6,0.3,0,3.54822059988055,-49.2113830727731
Alberta,57.13175,-115.11233,Open 1-1,13028-1,10,1,0,0.300018321862333,0.699981678137667,0,0,0,-0.23911460252428,11.6865076988053,-118.150984824737
Alberta,57.13175,-115.11233,Open 1-1,13028-2,10,1,0,0.300018321862333,0.699981678137667,0,0,0,-0.23911460252428,11.6865076988053,-118.150984824737
Alberta,57.13175,-115.11233,Open 1-1,13028-3,18,1,0,0.166666390473168,0.777776488874785,0,0.056,0,-0.132833113207115,8.02177151205214,-86.6486773585972
Alberta,57.13175,-115.11233,Open 1-1,13028-4,18,1,0,0.166666390473168,0.777776488874785,0,0.056,0,-0.132833113207115,8.02177151205214,-86.6486773585972
Alberta,57.13235,-115.11412,Open 1-4,2612-1,10,1,0,0.300018321862333,0.500030536437222,0,0.2,0,-0.23911460252428,11.7900724978497,-119.550449406922
Alberta,57.13235,-115.11412,Open 1-4,2612-2,10,1,0,0.300018321862333,0.500030536437222,0,0.2,0,-0.23911460252428,11.7900724978497,-119.550449406922
Alberta,57.13235,-115.11412,Open 1-4,2612-3,18,1,0,0.166666390473168,0.27777731745528,0,0.556,0,-0.132833113207115,8.28027430685415,-90.1417157633031
Alberta,57.13235,-115.11412,Open 1-4,2612-4,18,1,0,0.166666390473168,0.27777731745528,0,0.556,0,-0.132833113207115,8.28027430685415,-90.1417157633031
Alberta,57.13092,-115.11377,Open 1-7,2614-1,10,1,0,0.300018321862333,0.699981678137667,0,0,0,-0.23911460252428,11.6865076988053,-118.150984824737
Alberta,57.13092,-115.11377,Open 1-7,2614-2,10,1,0,0.300018321862333,0.699981678137667,0,0,0,-0.23911460252428,11.6865076988053,-118.150984824737
Alberta,57.13092,-115.11377,Open 1-7,2614-3,18,1,0,0.166666390473168,0.833333609526832,0,0,0,-0.132833113207115,7.99132568001149,-86.2369339008196
Alberta,57.13092,-115.11377,Open 1-7,2614-4,30,1,0,0.100000000000088,0.666666666667253,0,0.233,0,-0.07970000000007,6.26333666667138,-71.8944880000524
Alberta,56.73814,-115.33185,Treed 1-1,13268-1,10,1,0,0.300018321862333,0.699981678137667,0,0,0,-0.23911460252428,11.6865076988053,-118.150984824737
Alberta,56.73814,-115.33185,Treed 1-1,13268-2,10,1,0,0.300018321862333,0.699981678137667,0,0,0,-0.23911460252428,11.6865076988053,-118.150984824737
Alberta,56.73814,-115.33185,Treed 1-1,13268-3,18,1,0,0.166666390473168,0.388888244437392,0,0.444,0,-0.132833113207115,8.21937146356481,-89.318075228924
Alberta,56.73814,-115.33185,Treed 1-1,13268-4,30,1,0,0.100000000000088,0.233333333333539,0,0.667,0,-0.07970000000007,6.48996333333676,-74.9573120000347
Alberta,56.73926,-115.33139,Treed 1-4,23619-1,10,1,0,0.300018321862333,0.699981678137667,0,0,0,-0.23911460252428,11.6865076988053,-118.150984824737
Alberta,56.73926,-115.33139,Treed 1-4,23619-2,10,1,0,0.300018321862333,0.699981678137667,0,0,0,-0.23911460252428,11.6865076988053,-118.150984824737
Alberta,56.73926,-115.33139,Treed 1-4,23619-3,18,1,0,0.166666390473168,0.499999171419504,0,0.333,0,-0.132833113207115,8.16235862027547,-88.5477706945449
Alberta,56.73926,-115.33139,Treed 1-4,23619-4,18,1,0,0.166666390473168,0.499999171419504,0,0.333,0,-0.132833113207115,8.16235862027547,-88.5477706945449
Alberta,56.73907,-115.3331,Treed 1-6,13269-1,10,1,0,0.300018321862333,0.699981678137667,0,0,0,-0.23911460252428,11.6865076988053,-118.150984824737
Alberta,56.73907,-115.3331,Treed 1-6,13269-2,10,1,0,0.300018321862333,0.699981678137667,0,0,0,-0.23911460252428,11.6865076988053,-118.150984824737
Alberta,56.73907,-115.3331,Treed 1-6,13269-3,18,1,0,0.166666390473168,0.444443707928448,0,0.389,0,-0.132833113207115,8.19281004192014,-88.9595909617345
Alberta,56.73907,-115.3331,Treed 1-6,13269-4,18,1,0,0.166666390473168,0.444443707928448,0,0.389,0,-0.132833113207115,8.19281004192014,-88.9595909617345
